品阶,坐骑名称,意境说明,初始星数,满星数,进阶祝福总值,使用兽魂丹增加的进阶祝福值范围,进阶概率,升星物品,进阶物品
1阶,青角牛,田间灵牛，青角初生，踏地而行，凡俗中藏仙根,0,10,4,1-1,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
2阶,墨云驹,云气缭绕，墨色如夜，初显灵韵,0,10,16,1-2,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
3阶,霜月鹿,踏月而行，霜华覆身，仙意渐浓,0,10,64,1-3,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
4阶,赤瞳狐,九尾近亲，赤瞳通灵，狡黠灵动,0,10,256,1-4,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
5阶,玄甲犀,身披玄铁重甲，力可撼山，刚猛无匹,0,10,1024,1-5,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
6阶,紫霄鹏,振翅九霄，紫电缠身，已非凡兽,0,10,4096,1-6,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
7阶,金焰犼,犼之真形，金焰焚天，威震八方,0,10,16384,1-7,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
8阶,苍溟蛟,半龙之躯，潜于苍溟，呼风唤雨,0,10,65536,1-8,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
9阶,太虚螭,螭龙无角，游于太虚，近神之境,0,10,262144,1-9,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
10阶,玉麒麟,踏四极而镇乾坤，万灵之首,0,10,1048576,1-10,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,兽血,兽魂丹
