显化方向,姿态名称,大道显化,初始星数,满星数,进阶祝福总值,使用幻兽魂丹增加的进阶祝福值范围,进阶概率,升星物品,进阶物品,进阶后姿态名称,极境,初始星数,满星数,升星物品
东方·青龙,苍龙吟霄,生机勃发，春雷化雨,0,10,4194304,1-11,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,幻兽血,幻兽魂丹,极·苍龙吟霄,东方生发，春雷化雨润苍冥,0,114514,极幻兽血
西方·白虎,庚金啸风,肃杀凛冽，秋霜断魂,0,10,4194304,1-11,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,幻兽血,幻兽魂丹,极·庚金啸风,西极肃杀，秋霜断魂肃太清,0,114514,极幻兽血
南方·朱雀,离火焚穹,涅槃重生，夏阳炽烈,0,10,4194304,1-11,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,幻兽血,幻兽魂丹,极·离火焚穹,南明涅槃，夏阳炽烈焚劫灰,0,114514,极幻兽血
北方·玄武,玄冥镇渊,不动如山，冬水封天,0,10,4194304,1-11,进阶概率=（当前进阶祝福值/进阶祝福总值）^3,幻兽血,幻兽魂丹,极·玄冥镇渊,北渊归藏，冬水封天凝玄黄,0,114514,极幻兽血
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
