排名,异火名称,加成,外观,效果
**1**,**帝炎**,**2.000**,绚丽多彩，由二十二种异火融合而成，蕴含无尽威能,融合所有异火特性，可号令天下万火，焚天煮海，毁天灭地
**2**,**虚无吞炎**,**1.900**,黑色火焰，生于虚无之中，无相可寻、无形可抓,吞天噬地，吞噬万物
**3**,**净莲妖火**,**1.862**,乳白色，极度浓郁时呈粉红色；本源为粉红色莲花形态,净化万物，以情绪为引进入体内，将肉体灵魂斗气净化为虚无
**4**,**金帝焚天炎**,**1.824**,金色火焰，璀璨夺目,连斗气都能燃烧，可将斗圣强者创造的空间焚烧成虚无
**5**,**生灵之焱**,**1.786**,绿色火焰，宛如液体般流淌,蕴含浓郁生命之力，可催化药材生长、提升丹药品质
**6**,**八荒破灭焱**,**1.748**,淡黑色（或暗红色），可化作百丈庞大火焰双翼,破灭万物，兼具物理与灵魂攻击
**7**,**九幽金祖火**,**1.710**,金色火焰，蕴含九幽之地的神秘力量,裂天空，碎山河
**8**,**红莲业火**,**1.671**,深红色，火焰升腾间形成道道红莲之状，颇为妖艳,蕴含因果业力，可焚烧灵魂中的罪孽，对邪恶灵魂具有致命性
**9**,**三千焱炎火**,**1.633**,紫黑色，极高浓度可成纯黑色；成形于星空,吸收星辰之力不断强化，拥有不死体，只要不是被轰成肉泥都能恢复
**10**,**九幽风炎**,**1.595**,黑色火焰,诞生于极阴之地无尽深渊的风罡最猛烈处
**11**,**骨灵冷火**,**1.557**,森白色火焰,极寒与极热相结合的奇特火焰，属性霸道
**12**,**九龙雷罡火**,**1.519**,银色火焰，火焰升腾间可见九条银色火龙穿梭,蕴含龙威凝聚，有震慑灵魂之神效
**13**,**龟灵地火**,**1.481**,褐色火焰，形状如巨龟，浑身布满尖锐火刺，巨嘴中生满刀锋般獠牙,外形狰狞，具有极强的防御与大地之力
**14**,**陨落心炎**,**1.443**,透明无色，极为浓郁时略显乳白色,无形无色，可凭空召唤心火
**15**,**海心焰**,**1.405**,深蓝色火焰,诞生于海洋深处，可溶于水中，能借用大海的力量
**16**,**火云水炎**,**1.367**,如同火云一般，水火交融,拥有水之力的神奇火焰，火与水并存
**17**,**火山石焰**,**1.329**,暗红色（或赤色），焰色如熔浆,诞生于火山深处，爆发时带硫磺气
**18**,**风怒龙炎**,**1.290**,风与火融合，呈龙卷风形态,诞生于沙漠火焰龙卷风的风眼之中
**19**,**青莲地心火**,**1.252**,纯青色（极度浓郁时呈暗青色）,存在于地心熔岩之中，十年成灵、百年成形、千年成莲
**20**,**幽冥毒火**,**1.214**,幽绿色或暗紫色火焰，带有剧毒气息,含有剧毒的特殊火焰，吸收天地间奇毒而成，沾上一点让人生不如死
**21**,**阴阳双炎**,**1.176**,一黑一白两种颜色火焰缠绕，犹如阴阳双鱼游动,阴阳法则本源幻化的火焰形态
**22**,**万兽灵火**,**1.138**,隐隐浮现万兽模样的火焰,由万兽之魂与万兽之血凝结而成
**23**,**玄黄炎**,**1.100**,深黄色,生于天地之间，代表天地颜色
