06-25 12:28:24 [INFO] uvicorn | Will watch for changes in these directories: ['C:\\xiuxian3\\xiuxian3\\xiuxianserver']
06-25 12:28:24 [INFO] uvicorn | Uvicorn running on http://0.0.0.0:1234 (Press CTRL+C to quit)
06-25 12:28:24 [INFO] uvicorn | Started reloader process [12260] using WatchFiles
06-25 13:28:24 [SUCCESS] launch.load_router | Loaded module not include router module=auto.cfg
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module include router module=修仙 tag=修仙
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.二手市场
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.保险箱
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.修仙帮助
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.修仙物品
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.修仙界历史
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.修仙百科
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.后台接口
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.坐骑
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.宗门
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.对战
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.异火
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.异界虫洞
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.战斗日志
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.探险
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.数据库备份
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.武器
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.源库
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.玩家
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.称号
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.纳戒
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.背包
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.装备
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.贸易服务
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.铭刻
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.首领
06-25 13:28:25 [SUCCESS] launch.load_router | Loaded module not include router module=修仙.黑市
06-25 13:28:25 [INFO] uvicorn | Started server process [4476]
06-25 13:28:25 [INFO] uvicorn | Waiting for application startup.
06-25 13:28:25 [SUCCESS] launch.mount | Loaded handler path=/ws/bot/{client_id}
06-25 13:28:25 [SUCCESS] launch.lifespan | 成功添加定时同步任务 id=sect_war_generate_rewards
06-25 13:28:25 [INFO] auto.cfg | 执行 FastAPICache 初始化
06-25 13:28:25 [INFO] 修仙.后台接口 | 执行 后台接口 启动
06-25 13:28:25 [INFO] 修仙 | 执行 修仙数据库 启动
06-25 13:28:25 [INFO] 修仙.修仙帮助 | 执行 修仙帮助站 启动 文档 34 份，组件 26 个
06-25 13:28:25 [INFO] 修仙.修仙百科 | 执行 修仙百科 启动 知识 743 条
06-25 13:28:25 [SUCCESS] launch.lifespan | FastAPI 服务启动成功
06-25 13:28:25 [INFO] uvicorn | Application startup complete.
06-25 13:28:48 [INFO] uvicorn | ('127.0.0.1', 60591) - "WebSocket /ws/bot/915CB72DE371EDFAE4E02BBF099D0384" [accepted]
06-25 13:28:48 [INFO] uvicorn | connection open
06-25 13:28:48 [SUCCESS] launch.adapter.ws.message | 收到消息 client=915CB72DE371EDFAE4E02BBF099D0384 body={'code': 202, 'type': 'text', 'message': '黑市', 'request_id': '3cdeeff66d3b423a8ee35a00e611895a'}
06-25 13:28:48 [SUCCESS] launch.adapter.ws.manager | 发送消息 client=915CB72DE371EDFAE4E02BBF099D0384 success=True body={"code": 202, "type": "markdown", "message": {"content": "【木易·七窍玲珑 Lv.1】\n🔴 通知：新手礼包待领｜今日签到待领\n> **黑市**\n> 黑市是系统统一售卖与统一回收的特殊商店。\n> 当前目录：**5** 项。\n> 支持命令：黑市列表、黑市列表 编号/名称、黑市购买、黑市回收。\n> 默认回收比例：售价的 **80%**，向下取整。\n> 黑市材料按纳戒物品交易，适配坐骑模块的实际消耗方式。", "keyboard": {"content": {"rows": [{"buttons": [{"render_data": {"label": "黑市列表", "visited_label": "黑市列表", "style": 1}, "action": {"type": 1, "data": "黑市列表", "permission": {"type": 2}, "click_limit": 1, "unsupport_tips": "不支持的操作喵！"}, "group_id": null, "id": "1"}, {"render_data": {"label": "黑市购买", "visited_label": "黑市购买", "style": 1}, "action": {"type": 1, "data": "黑市购买", "permission": {"type": 2}, "click_limit": 1, "unsupport_tips": "不支持的操作喵！"}, "group_id": null, "id": "2"}, {"render_data": {"label": "黑市回收", "visited_label": "黑市回收", "style": 1}, "action": {"type": 1, "data": "黑市回收", "permission": {"type": 2}, "click_limit": 1, "unsupport_tips": "不支持的操作喵！"}, "group_id": null, "id": "3"}]}]}}}, "request_id": "3cdeeff66d3b423a8ee35a00e611895a"}
06-25 13:29:07 [SUCCESS] launch.adapter.ws.message | 收到消息 client=915CB72DE371EDFAE4E02BBF099D0384 body={'code': 202, 'type': 'text', 'message': '黑市列表', 'request_id': '1360e4ab22d8426bb1c495c8d455fe4e'}
